"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri May 02 08:13:05 GMT 2025","Fri May 02 08:13:17 GMT 2025","12009","","Testing register form","","","","Register an account with not accepted Terms & Conditions",""
"broken","Fri May 02 08:12:25 GMT 2025","Fri May 02 08:12:38 GMT 2025","12633","","Testing Contact Us form","","","","User cannot leave a request with invalid email",""
"broken","Fri May 02 08:12:50 GMT 2025","Fri May 02 08:13:02 GMT 2025","11919","","Testing Contact Us form","","","","User cannot leave a request with empty last name field",""
"broken","Fri May 02 08:13:02 GMT 2025","Fri May 02 08:13:14 GMT 2025","11811","","Testing Contact Us form","","","","User cannot leave a request with empty phone field",""
"broken","Fri May 02 08:13:17 GMT 2025","Fri May 02 08:13:29 GMT 2025","12095","","Testing register form","","","","Register an account with invalid email",""
"broken","Fri May 02 08:12:38 GMT 2025","Fri May 02 08:12:50 GMT 2025","11920","","Testing Contact Us form","","","","User cannot leave a request with empty first name field",""
"broken","Fri May 02 08:11:55 GMT 2025","Fri May 02 08:12:25 GMT 2025","30581","","Testing Contact Us form","","","","User can leave a request to an expert via 'Contact Us' link",""
"broken","Fri May 02 08:12:12 GMT 2025","Fri May 02 08:12:12 GMT 2025","3","","Testing recieve a call form","","","","Fill the form with wrong Domain type",""
"broken","Fri May 02 08:12:53 GMT 2025","Fri May 02 08:13:05 GMT 2025","12216","","Testing register form","","","","Register with password contains no upper-case letter ",""
"broken","Fri May 02 08:12:10 GMT 2025","Fri May 02 08:12:10 GMT 2025","1","","Testing Global coverage form","","","","Explore Global coverage form",""
"broken","Fri May 02 08:12:26 GMT 2025","Fri May 02 08:12:40 GMT 2025","13731","","Testing register form","","","","Register an account with empty First Name field",""
"broken","Fri May 02 08:12:40 GMT 2025","Fri May 02 08:12:53 GMT 2025","12579","","Testing register form","","","","Register an account with empty Last Name field",""
"broken","Fri May 02 08:12:18 GMT 2025","Fri May 02 08:12:18 GMT 2025","0","","Testing Become a parnter form","","","","Too long Phone Number in Become a Partner Form",""
"broken","Fri May 02 08:11:54 GMT 2025","Fri May 02 08:12:26 GMT 2025","31777","","Testing register form","","","","Register an account with password less then 12 characters long",""
