"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri May 02 08:16:18 GMT 2025","Fri May 02 08:16:31 GMT 2025","12560","","Testing register form","","","","Register an account with empty Last Name field",""
"broken","Fri May 02 08:16:05 GMT 2025","Fri May 02 08:16:18 GMT 2025","13175","","Testing register form","","","","Register an account with empty First Name field",""
"broken","Fri May 02 08:15:35 GMT 2025","Fri May 02 08:16:05 GMT 2025","30536","","Testing register form","","","","Register an account with password less then 12 characters long",""
"broken","Fri May 02 08:15:35 GMT 2025","Fri May 02 08:16:06 GMT 2025","31336","","Testing Contact Us form","","","","User can leave a request to an expert via 'Contact Us' link",""
"broken","Fri May 02 08:16:06 GMT 2025","Fri May 02 08:16:21 GMT 2025","14731","","Testing Contact Us form","","","","User cannot leave a request with invalid email",""
"broken","Fri May 02 08:15:50 GMT 2025","Fri May 02 08:15:50 GMT 2025","0","","Testing Global coverage form","","","","Explore Global coverage form",""
"broken","Fri May 02 08:16:31 GMT 2025","Fri May 02 08:16:43 GMT 2025","12450","","Testing register form","","","","Register with password contains no upper-case letter ",""
"broken","Fri May 02 08:16:43 GMT 2025","Fri May 02 08:16:55 GMT 2025","12122","","Testing register form","","","","Register an account with not accepted Terms & Conditions",""
"broken","Fri May 02 08:16:55 GMT 2025","Fri May 02 08:17:07 GMT 2025","12067","","Testing register form","","","","Register an account with invalid email",""
"broken","Fri May 02 08:16:33 GMT 2025","Fri May 02 08:16:46 GMT 2025","12330","","Testing Contact Us form","","","","User cannot leave a request with empty last name field",""
"broken","Fri May 02 08:15:58 GMT 2025","Fri May 02 08:15:58 GMT 2025","1","","Testing Become a parnter form","","","","Too long Phone Number in Become a Partner Form",""
"broken","Fri May 02 08:16:21 GMT 2025","Fri May 02 08:16:33 GMT 2025","12124","","Testing Contact Us form","","","","User cannot leave a request with empty first name field",""
"broken","Fri May 02 08:16:46 GMT 2025","Fri May 02 08:16:58 GMT 2025","12440","","Testing Contact Us form","","","","User cannot leave a request with empty phone field",""
"broken","Fri May 02 08:15:59 GMT 2025","Fri May 02 08:15:59 GMT 2025","5","","Testing recieve a call form","","","","Fill the form with wrong Domain type",""
