"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 24 17:40:36 GMT 2025","Thu Apr 24 17:41:08 GMT 2025","32487","","Testing Become a parnter form","","","","Become a Partner",""
"passed","Thu Apr 24 17:40:12 GMT 2025","Thu Apr 24 17:40:35 GMT 2025","23298","","Testing recieve a call form","","","","Fill the form with wrong Domain type",""
"passed","Thu Apr 24 17:41:38 GMT 2025","Thu Apr 24 17:41:49 GMT 2025","11764","","Testing register form","","","","Register an account with invalid email",""
"passed","Thu Apr 24 17:41:27 GMT 2025","Thu Apr 24 17:41:38 GMT 2025","10640","","Testing register form","","","","Register an account with not accepted Terms & Conditions",""
"passed","Thu Apr 24 17:41:08 GMT 2025","Thu Apr 24 17:41:27 GMT 2025","18838","","Testing Become a parnter form","","","","Wrong email format in Become a Partner Form",""
"passed","Thu Apr 24 17:40:12 GMT 2025","Thu Apr 24 17:40:36 GMT 2025","23827","","Testing Become a parnter form","","","","Too long Phone Number in Become a Partner Form",""
"passed","Thu Apr 24 17:41:26 GMT 2025","Thu Apr 24 17:41:42 GMT 2025","16247","","Testing Contact Us form","","","","User cannot leave a request with empty first name field",""
"passed","Thu Apr 24 17:41:10 GMT 2025","Thu Apr 24 17:41:24 GMT 2025","13745","","Testing Global coverage form","","","","Explore Global Coverage form with empty first name field",""
"passed","Thu Apr 24 17:41:14 GMT 2025","Thu Apr 24 17:41:27 GMT 2025","12768","","Testing register form","","","","Register with password contains no upper-case letter ",""
"passed","Thu Apr 24 17:41:42 GMT 2025","Thu Apr 24 17:41:51 GMT 2025","9438","","Testing Contact Us form","","","","User cannot leave a request with empty last name field",""
"passed","Thu Apr 24 17:40:35 GMT 2025","Thu Apr 24 17:41:04 GMT 2025","29071","","Testing recieve a call form","","","","Fill the form with no checked Captcha",""
"passed","Thu Apr 24 17:40:31 GMT 2025","Thu Apr 24 17:40:57 GMT 2025","26096","","Testing register form","","","","Register an account with empty First Name field",""
"passed","Thu Apr 24 17:40:13 GMT 2025","Thu Apr 24 17:40:42 GMT 2025","29592","","Testing Global coverage form","","","","Explore Global coverage form",""
"passed","Thu Apr 24 17:41:51 GMT 2025","Thu Apr 24 17:41:58 GMT 2025","6040","","Testing Contact Us form","","","","User cannot leave a request with empty phone field",""
"passed","Thu Apr 24 17:40:12 GMT 2025","Thu Apr 24 17:40:31 GMT 2025","19325","","Testing register form","","","","Register an account with password less then 12 characters long",""
"passed","Thu Apr 24 17:41:24 GMT 2025","Thu Apr 24 17:41:45 GMT 2025","20630","","Testing Global coverage form","","","","Explore Global Coverage form with empty last name field",""
"passed","Thu Apr 24 17:40:12 GMT 2025","Thu Apr 24 17:41:02 GMT 2025","50555","","Testing Contact Us form","","","","User can leave a request to an expert via 'Contact Us' link",""
"passed","Thu Apr 24 17:40:42 GMT 2025","Thu Apr 24 17:41:10 GMT 2025","28006","","Testing Global coverage form","","","","Explore Global Coverage form with invalid email format",""
"passed","Thu Apr 24 17:41:02 GMT 2025","Thu Apr 24 17:41:26 GMT 2025","23583","","Testing Contact Us form","","","","User cannot leave a request with invalid email",""
"passed","Thu Apr 24 17:40:57 GMT 2025","Thu Apr 24 17:41:14 GMT 2025","17246","","Testing register form","","","","Register an account with empty Last Name field",""
