"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 24 17:33:06 GMT 2025","Thu Apr 24 17:33:31 GMT 2025","24511","","Testing Global coverage form","","","","Explore Global coverage form",""
"passed","Thu Apr 24 17:34:08 GMT 2025","Thu Apr 24 17:34:18 GMT 2025","9317","","Testing register form","","","","Register with password contains no upper-case letter ",""
"passed","Thu Apr 24 17:33:33 GMT 2025","Thu Apr 24 17:34:03 GMT 2025","29591","","Testing Become a parnter form","","","","Become a Partner",""
"passed","Thu Apr 24 17:34:11 GMT 2025","Thu Apr 24 17:34:23 GMT 2025","12095","","Testing Contact Us form","","","","User cannot leave a request with empty first name field",""
"passed","Thu Apr 24 17:33:34 GMT 2025","Thu Apr 24 17:33:58 GMT 2025","24276","","Testing recieve a call form","","","","Fill the form with no checked Captcha",""
"broken","Thu Apr 24 17:33:40 GMT 2025","Thu Apr 24 17:33:40 GMT 2025","1","","Testing Global coverage form","","","","Explore Global Coverage form with invalid email format",""
"passed","Thu Apr 24 17:34:33 GMT 2025","Thu Apr 24 17:34:40 GMT 2025","6533","","Testing Contact Us form","","","","User cannot leave a request with empty phone field",""
"passed","Thu Apr 24 17:34:18 GMT 2025","Thu Apr 24 17:34:25 GMT 2025","6947","","Testing register form","","","","Register an account with not accepted Terms & Conditions",""
"passed","Thu Apr 24 17:34:25 GMT 2025","Thu Apr 24 17:34:32 GMT 2025","7720","","Testing register form","","","","Register an account with invalid email",""
"passed","Thu Apr 24 17:34:23 GMT 2025","Thu Apr 24 17:34:33 GMT 2025","10785","","Testing Contact Us form","","","","User cannot leave a request with empty last name field",""
"passed","Thu Apr 24 17:33:28 GMT 2025","Thu Apr 24 17:33:54 GMT 2025","25854","","Testing register form","","","","Register an account with empty First Name field",""
"passed","Thu Apr 24 17:33:50 GMT 2025","Thu Apr 24 17:34:11 GMT 2025","20807","","Testing Contact Us form","","","","User cannot leave a request with invalid email",""
"passed","Thu Apr 24 17:33:06 GMT 2025","Thu Apr 24 17:33:50 GMT 2025","43374","","Testing Contact Us form","","","","User can leave a request to an expert via 'Contact Us' link",""
"passed","Thu Apr 24 17:33:06 GMT 2025","Thu Apr 24 17:33:33 GMT 2025","27035","","Testing Become a parnter form","","","","Too long Phone Number in Become a Partner Form",""
"passed","Thu Apr 24 17:33:06 GMT 2025","Thu Apr 24 17:33:34 GMT 2025","27553","","Testing recieve a call form","","","","Fill the form with wrong Domain type",""
"passed","Thu Apr 24 17:33:06 GMT 2025","Thu Apr 24 17:33:28 GMT 2025","22295","","Testing register form","","","","Register an account with password less then 12 characters long",""
"passed","Thu Apr 24 17:33:54 GMT 2025","Thu Apr 24 17:34:08 GMT 2025","14102","","Testing register form","","","","Register an account with empty Last Name field",""
"passed","Thu Apr 24 17:34:03 GMT 2025","Thu Apr 24 17:34:15 GMT 2025","12699","","Testing Become a parnter form","","","","Wrong email format in Become a Partner Form",""
