"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 24 17:07:00 GMT 2025","Thu Apr 24 17:07:30 GMT 2025","30636","","Testing Become a parnter form","","","","Become a Partner",""
"passed","Thu Apr 24 17:07:30 GMT 2025","Thu Apr 24 17:07:47 GMT 2025","16992","","Testing Become a parnter form","","","","Wrong email format in Become a Partner Form",""
"passed","Thu Apr 24 17:07:54 GMT 2025","Thu Apr 24 17:08:04 GMT 2025","9724","","Testing Contact Us form","","","","User cannot leave a request with empty phone field",""
"passed","Thu Apr 24 17:06:44 GMT 2025","Thu Apr 24 17:07:14 GMT 2025","30667","","Testing Contact Us form","","","","User cannot leave a request with invalid email",""
"passed","Thu Apr 24 17:06:44 GMT 2025","Thu Apr 24 17:07:10 GMT 2025","25209","","Testing Global coverage form","","","","Explore Global Coverage form with invalid email format",""
"passed","Thu Apr 24 17:07:14 GMT 2025","Thu Apr 24 17:07:38 GMT 2025","23378","","Testing Contact Us form","","","","User cannot leave a request with empty first name field",""
"broken","Thu Apr 24 17:06:21 GMT 2025","Thu Apr 24 17:06:44 GMT 2025","22359","","Testing Contact Us form","","","","User can leave a request to an expert via 'Contact Us' link",""
"passed","Thu Apr 24 17:07:12 GMT 2025","Thu Apr 24 17:07:31 GMT 2025","19172","","Testing register form","","","","Register an account with empty Last Name field",""
"passed","Thu Apr 24 17:07:27 GMT 2025","Thu Apr 24 17:07:46 GMT 2025","19704","","Testing Global coverage form","","","","Explore Global Coverage form with empty last name field",""
"passed","Thu Apr 24 17:06:42 GMT 2025","Thu Apr 24 17:07:12 GMT 2025","29242","","Testing register form","","","","Register an account with empty First Name field",""
"passed","Thu Apr 24 17:06:21 GMT 2025","Thu Apr 24 17:06:42 GMT 2025","20971","","Testing register form","","","","Register an account with password less then 12 characters long",""
"passed","Thu Apr 24 17:07:31 GMT 2025","Thu Apr 24 17:07:46 GMT 2025","14852","","Testing register form","","","","Register with password contains no upper-case letter ",""
"passed","Thu Apr 24 17:07:46 GMT 2025","Thu Apr 24 17:07:54 GMT 2025","8763","","Testing register form","","","","Register an account with not accepted Terms & Conditions",""
"passed","Thu Apr 24 17:06:48 GMT 2025","Thu Apr 24 17:07:16 GMT 2025","28384","","Testing recieve a call form","","","","Fill the form with no checked Captcha",""
"passed","Thu Apr 24 17:07:38 GMT 2025","Thu Apr 24 17:07:54 GMT 2025","16703","","Testing Contact Us form","","","","User cannot leave a request with empty last name field",""
"passed","Thu Apr 24 17:06:25 GMT 2025","Thu Apr 24 17:07:00 GMT 2025","35055","","Testing Become a parnter form","","","","Too long Phone Number in Become a Partner Form",""
"passed","Thu Apr 24 17:06:22 GMT 2025","Thu Apr 24 17:06:44 GMT 2025","22582","","Testing Global coverage form","","","","Explore Global coverage form",""
"passed","Thu Apr 24 17:06:22 GMT 2025","Thu Apr 24 17:06:48 GMT 2025","25312","","Testing recieve a call form","","","","Fill the form with wrong Domain type",""
"passed","Thu Apr 24 17:07:54 GMT 2025","Thu Apr 24 17:08:01 GMT 2025","6924","","Testing register form","","","","Register an account with invalid email",""
"passed","Thu Apr 24 17:07:10 GMT 2025","Thu Apr 24 17:07:27 GMT 2025","17037","","Testing Global coverage form","","","","Explore Global Coverage form with empty first name field",""
